,DealerID,NewUsed,Year,Make,Model,ModelNumber,ExteriorColor,InteriorColor,EngineCylinders,Trim,Doors,Transmission,SellingPrice,Miles,MPG(Miles per Fallon),FuelType,DriveTrain,TransmissionDescription,EPA_Unit,Safety details,Finance,discounts and offers,Trade in and Exchange
0,2013,USED,2021,Jeep,Grand Cherokee,WKJH74,Bright White Clearcoat,Black,6,Laredo X 4x4,4,Automatic,33981,38678,25,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,Our cars feature top-of-the-line safety technology for your peace of mind,We offer flexible financing options to make owning your dream car a reality.,Explore our current discounts and offers to make the most of your car shopping experience.,"Explore hassle-free trade-in and exchange options to upgrade your vehicle contact 123




"
1,2013,USED,2021,Dodge,Durango,WDEH75,Billet Metallic Clearcoat,Black,6,GT AWD,4,Automatic,40555,11588,25,Gasoline,All Wheel Drive,8-Speed Automatic,MPG,Our cars feature top-of-the-line safety technology for your peace of mind,We offer flexible financing options to make owning your dream car a reality.,Explore our current discounts and offers to make the most of your car shopping experience.,"Explore hassle-free trade-in and exchange options to upgrade your vehicle contact 123




"
2,2013,USED,2021,Ram,1500,DT6H98,Bright White Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",4,Automatic,42812,27089,22,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,Our cars feature top-of-the-line safety technology for your peace of mind,We offer flexible financing options to make owning your dream car a reality.,Explore our current discounts and offers to make the most of your car shopping experience.,"Explore hassle-free trade-in and exchange options to upgrade your vehicle contact 123




"
3,2013,NEW,2022,Ram,2500,DJ7H91,Granite Crystal Metallic Clearcoat,Black,8,"Big Horn 4x4 Crew Cab 6'4"" Box",4,Automatic,64050,270,25,Diesel,Four Wheel Drive,6-Speed Automatic,,Our cars feature top-of-the-line safety technology for your peace of mind,We offer flexible financing options to make owning your dream car a reality.,Explore our current discounts and offers to make the most of your car shopping experience.,"Explore hassle-free trade-in and exchange options to upgrade your vehicle contact 123




"
4,2013,NEW,2022,Jeep,Grand Wagoneer,WSJR75,Baltic Gray Metallic Clearcoat,Black,8,Series I 4x4,4,Automatic,87888,2863,18,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,Our cars feature top-of-the-line safety technology for your peace of mind,We offer flexible financing options to make owning your dream car a reality.,Explore our current discounts and offers to make the most of your car shopping experience.,"Explore hassle-free trade-in and exchange options to upgrade your vehicle contact 123




"
5,2013,NEW,2022,Jeep,Grand Wagoneer,WSJS75,Diamond Black Crystal Pearlcoat,Black,8,Series II 4x4,4,Automatic,97888,4699,18,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,Our cars feature top-of-the-line safety technology for your peace of mind,We offer flexible financing options to make owning your dream car a reality.,Explore our current discounts and offers to make the most of your car shopping experience.,"Explore hassle-free trade-in and exchange options to upgrade your vehicle contact 123




"
6,2013,NEW,2022,Ram,1500,DT6H98,Granite Crystal Metallic Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",4,Automatic,51392,77,24,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,Our cars feature top-of-the-line safety technology for your peace of mind,We offer flexible financing options to make owning your dream car a reality.,Explore our current discounts and offers to make the most of your car shopping experience.,"Explore hassle-free trade-in and exchange options to upgrade your vehicle contact 123




"
7,2013,NEW,2022,Jeep,Cherokee,KLJH74,Granite Crystal Metallic Clearcoat,Black,6,Trailhawk 4x4,4,Automatic,40087,4000,24,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic,MPG,Our cars feature top-of-the-line safety technology for your peace of mind,We offer flexible financing options to make owning your dream car a reality.,Explore our current discounts and offers to make the most of your car shopping experience.,"Explore hassle-free trade-in and exchange options to upgrade your vehicle contact 123




"
8,2013,NEW,2022,Jeep,Gladiator,JTJP98,Black Clearcoat,Black,6,High Altitude 4x4,4,Automatic,57212,53,22,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,Our cars feature top-of-the-line safety technology for your peace of mind,We offer flexible financing options to make owning your dream car a reality.,Explore our current discounts and offers to make the most of your car shopping experience.,"Explore hassle-free trade-in and exchange options to upgrade your vehicle contact 123




"
9,2013,NEW,2022,Jeep,Cherokee,KLJP74,Sting-Gray Clearcoat,Black,6,Limited 4x4,4,Automatic,38903,4,27,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic,MPG,Our cars feature top-of-the-line safety technology for your peace of mind,We offer flexible financing options to make owning your dream car a reality.,Explore our current discounts and offers to make the most of your car shopping experience.,"Explore hassle-free trade-in and exchange options to upgrade your vehicle contact 123




"
